seed,fitness,distance,priority_penalty,autonomy_penalty,routes,fitness_difference
1,25848.18565962471,3293.4430760266578,22554.742583598047,0.0,6,-7.59178025446753
2,26177.507259267466,3387.5028790229694,22790.004380244496,0.0,6,-6.414443355565822
3,25834.863903325248,3303.5562609609096,22531.307642364336,0.0,6,-7.63940602595214
4,26251.06013569867,3363.097626776442,22887.962508922228,0.0,6,-6.1514891019221105
5,25701.59551248401,3258.774391142063,22442.82112134195,0.0,6,-8.115845452229816
