seed,generation,fitness
1,1,27971.73858646309
1,2,27694.14126190446
1,3,27525.672721823626
1,4,26552.06694466517
1,5,26552.06694466517
1,6,26552.06694466517
1,7,26552.06694466517
1,8,26552.06694466517
1,9,26552.06694466517
1,10,26552.06694466517
1,11,26518.988410137525
1,12,26518.988410137525
1,13,26133.75805736838
1,14,26133.75805736838
1,15,26133.75805736838
1,16,26133.75805736838
1,17,26133.75805736838
1,18,26133.75805736838
1,19,26133.75805736838
1,20,26133.75805736838
1,21,26133.75805736838
1,22,26133.75805736838
1,23,26133.75805736838
1,24,26133.75805736838
1,25,26133.75805736838
1,26,26133.75805736838
1,27,26133.75805736838
1,28,26133.75805736838
1,29,26133.75805736838
1,30,26133.75805736838
1,31,26133.75805736838
1,32,26133.75805736838
1,33,26133.75805736838
1,34,26133.75805736838
1,35,26133.75805736838
1,36,26133.75805736838
1,37,26133.75805736838
1,38,26133.75805736838
1,39,26133.75805736838
1,40,26133.75805736838
1,41,26133.75805736838
1,42,26133.75805736838
1,43,26133.75805736838
1,44,26133.75805736838
1,45,26133.75805736838
1,46,26133.75805736838
1,47,26133.75805736838
1,48,26133.75805736838
1,49,26133.75805736838
1,50,26133.75805736838
1,51,26133.75805736838
1,52,26133.75805736838
1,53,26133.75805736838
1,54,26133.75805736838
1,55,26133.75805736838
1,56,26002.198738047708
1,57,26002.198738047708
1,58,26002.198738047708
1,59,26002.198738047708
1,60,26002.198738047708
1,61,26002.198738047708
1,62,26002.198738047708
1,63,26002.198738047708
1,64,26002.198738047708
1,65,26002.198738047708
1,66,26002.198738047708
1,67,26002.198738047708
1,68,26002.198738047708
1,69,26002.198738047708
1,70,26002.198738047708
1,71,26002.198738047708
1,72,26002.198738047708
1,73,26002.198738047708
1,74,26002.198738047708
1,75,26002.198738047708
1,76,26002.198738047708
1,77,26002.198738047708
1,78,25850.29831454807
1,79,25850.29831454807
1,80,25850.29831454807
1,81,25850.29831454807
1,82,25850.29831454807
1,83,25850.29831454807
1,84,25850.29831454807
1,85,25850.29831454807
1,86,25850.29831454807
1,87,25850.29831454807
1,88,25850.29831454807
1,89,25850.29831454807
1,90,25850.29831454807
1,91,25850.29831454807
1,92,25850.29831454807
1,93,25850.29831454807
1,94,25850.29831454807
1,95,25850.29831454807
1,96,25850.29831454807
1,97,25850.29831454807
1,98,25850.29831454807
1,99,25850.29831454807
1,100,25850.29831454807
1,101,25850.29831454807
1,102,25850.29831454807
1,103,25850.29831454807
1,104,25850.29831454807
1,105,25850.29831454807
1,106,25850.29831454807
1,107,25850.29831454807
1,108,25850.29831454807
1,109,25850.29831454807
1,110,25850.29831454807
1,111,25850.29831454807
1,112,25850.29831454807
1,113,25850.29831454807
1,114,25850.29831454807
1,115,25850.29831454807
1,116,25850.29831454807
1,117,25850.29831454807
1,118,25850.29831454807
1,119,25850.29831454807
1,120,25850.29831454807
1,121,25850.29831454807
1,122,25850.29831454807
1,123,25850.29831454807
1,124,25850.29831454807
1,125,25850.29831454807
1,126,25850.29831454807
1,127,25850.29831454807
1,128,25850.29831454807
1,129,25850.29831454807
1,130,25850.29831454807
1,131,25850.29831454807
1,132,25850.29831454807
1,133,25850.29831454807
1,134,25850.29831454807
1,135,25850.29831454807
1,136,25850.29831454807
1,137,25850.29831454807
1,138,25850.29831454807
1,139,25850.29831454807
1,140,25850.29831454807
1,141,25850.29831454807
1,142,25850.29831454807
1,143,25850.29831454807
1,144,25850.29831454807
1,145,25850.29831454807
1,146,25850.29831454807
1,147,25850.29831454807
1,148,25850.29831454807
1,149,25850.29831454807
1,150,25850.29831454807
1,151,25850.29831454807
1,152,25850.29831454807
1,153,25850.29831454807
1,154,25850.29831454807
1,155,25850.29831454807
1,156,25850.29831454807
1,157,25850.29831454807
1,158,25850.29831454807
1,159,25850.29831454807
1,160,25850.29831454807
1,161,25850.29831454807
1,162,25850.29831454807
1,163,25850.29831454807
1,164,25850.29831454807
1,165,25850.29831454807
1,166,25848.18565962471
1,167,25848.18565962471
1,168,25848.18565962471
1,169,25848.18565962471
1,170,25848.18565962471
1,171,25848.18565962471
1,172,25848.18565962471
1,173,25848.18565962471
1,174,25848.18565962471
1,175,25848.18565962471
1,176,25848.18565962471
1,177,25848.18565962471
1,178,25848.18565962471
1,179,25848.18565962471
1,180,25848.18565962471
1,181,25848.18565962471
1,182,25848.18565962471
1,183,25848.18565962471
1,184,25848.18565962471
1,185,25848.18565962471
1,186,25848.18565962471
1,187,25848.18565962471
1,188,25848.18565962471
1,189,25848.18565962471
1,190,25848.18565962471
1,191,25848.18565962471
1,192,25848.18565962471
1,193,25848.18565962471
1,194,25848.18565962471
1,195,25848.18565962471
1,196,25848.18565962471
1,197,25848.18565962471
1,198,25848.18565962471
1,199,25848.18565962471
1,200,25848.18565962471
2,1,27971.73858646309
2,2,26552.06694466517
2,3,26552.06694466517
2,4,26552.06694466517
2,5,26552.06694466517
2,6,26552.06694466517
2,7,26552.06694466517
2,8,26552.06694466517
2,9,26552.06694466517
2,10,26552.06694466517
2,11,26552.06694466517
2,12,26552.06694466517
2,13,26552.06694466517
2,14,26552.06694466517
2,15,26552.06694466517
2,16,26552.06694466517
2,17,26552.06694466517
2,18,26552.06694466517
2,19,26552.06694466517
2,20,26552.06694466517
2,21,26552.06694466517
2,22,26552.06694466517
2,23,26552.06694466517
2,24,26552.06694466517
2,25,26552.06694466517
2,26,26552.06694466517
2,27,26552.06694466517
2,28,26552.06694466517
2,29,26552.06694466517
2,30,26552.06694466517
2,31,26552.06694466517
2,32,26552.06694466517
2,33,26552.06694466517
2,34,26552.06694466517
2,35,26552.06694466517
2,36,26552.06694466517
2,37,26552.06694466517
2,38,26552.06694466517
2,39,26552.06694466517
2,40,26552.06694466517
2,41,26552.06694466517
2,42,26552.06694466517
2,43,26552.06694466517
2,44,26552.06694466517
2,45,26552.06694466517
2,46,26552.06694466517
2,47,26552.06694466517
2,48,26552.06694466517
2,49,26552.06694466517
2,50,26552.06694466517
2,51,26552.06694466517
2,52,26251.06013569867
2,53,26251.06013569867
2,54,26251.06013569867
2,55,26251.06013569867
2,56,26251.06013569867
2,57,26251.06013569867
2,58,26251.06013569867
2,59,26251.06013569867
2,60,26251.06013569867
2,61,26251.06013569867
2,62,26251.06013569867
2,63,26251.06013569867
2,64,26251.06013569867
2,65,26251.06013569867
2,66,26251.06013569867
2,67,26251.06013569867
2,68,26251.06013569867
2,69,26251.06013569867
2,70,26251.06013569867
2,71,26251.06013569867
2,72,26251.06013569867
2,73,26251.06013569867
2,74,26251.06013569867
2,75,26251.06013569867
2,76,26251.06013569867
2,77,26251.06013569867
2,78,26251.06013569867
2,79,26251.06013569867
2,80,26251.06013569867
2,81,26251.06013569867
2,82,26251.06013569867
2,83,26251.06013569867
2,84,26251.06013569867
2,85,26251.06013569867
2,86,26251.06013569867
2,87,26251.06013569867
2,88,26251.06013569867
2,89,26251.06013569867
2,90,26251.06013569867
2,91,26251.06013569867
2,92,26251.06013569867
2,93,26251.06013569867
2,94,26251.06013569867
2,95,26251.06013569867
2,96,26251.06013569867
2,97,26251.06013569867
2,98,26251.06013569867
2,99,26251.06013569867
2,100,26251.06013569867
2,101,26251.06013569867
2,102,26251.06013569867
2,103,26251.06013569867
2,104,26251.06013569867
2,105,26251.06013569867
2,106,26251.06013569867
2,107,26251.06013569867
2,108,26251.06013569867
2,109,26251.06013569867
2,110,26251.06013569867
2,111,26251.06013569867
2,112,26251.06013569867
2,113,26251.06013569867
2,114,26251.06013569867
2,115,26251.06013569867
2,116,26251.06013569867
2,117,26251.06013569867
2,118,26251.06013569867
2,119,26251.06013569867
2,120,26251.06013569867
2,121,26251.06013569867
2,122,26251.06013569867
2,123,26251.06013569867
2,124,26251.06013569867
2,125,26251.06013569867
2,126,26251.06013569867
2,127,26251.06013569867
2,128,26251.06013569867
2,129,26251.06013569867
2,130,26251.06013569867
2,131,26251.06013569867
2,132,26251.06013569867
2,133,26251.06013569867
2,134,26251.06013569867
2,135,26251.06013569867
2,136,26251.06013569867
2,137,26251.06013569867
2,138,26251.06013569867
2,139,26251.06013569867
2,140,26251.06013569867
2,141,26251.06013569867
2,142,26251.06013569867
2,143,26251.06013569867
2,144,26251.06013569867
2,145,26251.06013569867
2,146,26251.06013569867
2,147,26251.06013569867
2,148,26251.06013569867
2,149,26251.06013569867
2,150,26251.06013569867
2,151,26251.06013569867
2,152,26251.06013569867
2,153,26251.06013569867
2,154,26251.06013569867
2,155,26251.06013569867
2,156,26251.06013569867
2,157,26251.06013569867
2,158,26251.06013569867
2,159,26251.06013569867
2,160,26251.06013569867
2,161,26251.06013569867
2,162,26251.06013569867
2,163,26251.06013569867
2,164,26251.06013569867
2,165,26251.06013569867
